DATASET,TOT,BACKWARD,,DIRECTION
MONKS_1,44410.237,3271.0254999999333,1.0,1.0
MONKS_2,28037.069500000005,1887.8115000000566,1.0,1.0
MONKS_3,163439.486,12167.22000000003,1.0,1.0
