DATASET,MEAN_MSE_TR,STD_MSE_TR,MEAN_MSE_TS,STD_MSE_TS,MEAN_ACCURACY_TR,STD_ACCURACY_TR,MEAN_ACCURACY_TS,STD_ACCURACY_TS,CONVERGENCE,LS
MONKS_1,0.008965681527562155,0.019985266179505183,0.019156208173731527,0.034559611148705656,0.98130081300813,0.04082078117279088,0.9593967517401392,0.07082649243482265,298.9,6.603779860923614
MONKS_2,0.0045320986163250995,0.01481087742926807,0.011283493560508168,0.025835791440051714,0.990650406504065,0.03034111049908471,0.9758700696055683,0.05315909310911107,183.1,5.081593514961901
MONKS_3,0.0070054915224577585,0.014109856087279488,0.016309574241555724,0.022473694338459957,0.9857779569531232,0.028760663931576815,0.9634957463263727,0.04752675573366692,389.23333333333335,5.942235713467628
