DATASET,MEAN_MSE_TR,STD_MSE_TR,MEAN_MSE_TS,STD_MSE_TS,MEAN_ACCURACY_TR,STD_ACCURACY_TR,MEAN_ACCURACY_TS,STD_ACCURACY_TS,CONVERGENCE,LS
MONKS_1,0.009923589006602078,0.008063055786568258,0.014794853000400007,0.011796887804833931,0.994308943089431,0.01707317073170731,0.9907192575406032,0.024902845225055675,1000.0,1.0
MONKS_2,0.006985786285447705,0.0064143636835936385,0.009651692999458,0.009800110911963953,0.9971544715447156,0.012403370977554756,0.9953596287703016,0.018210131666216794,1000.0,1.0
MONKS_3,0.011848105368913873,0.008767283365361901,0.013146837720240131,0.00965179543669139,0.9829514658782954,0.022821300850847107,0.9829079659706108,0.02335205316470995,1000.0,1.0
