DATASET,MEAN_MSE_TR,STD_MSE_TR,MEAN_MSE_TS,STD_MSE_TS,MEAN_ACCURACY_TR,STD_ACCURACY_TR,MEAN_ACCURACY_TS,STD_ACCURACY_TS,CONVERGENCE,LS
MONKS_1,0.0061105930031214156,0.0060985755892290425,0.02001234561520228,0.019998357236306018,0.9878048780487805,0.012195121951219523,0.96,0.03999999999999998,806.5,7.816237617090099
MONKS_2,8.410787243471085e-06,1.645332290830461e-06,5.9711726954040985e-06,3.3801459040490903e-07,1.0,0.0,1.0,0.0,292.0,7.710114153900751
MONKS_3,1.4294929307636519e-06,5.335438614801934e-07,1.4954330709291418e-06,6.039205977614084e-07,1.0,0.0,1.0,0.0,6540.5,8.265906726174594
