DATASET,MEAN_MSE_TR,STD_MSE_TR,MEAN_MSE_TS,STD_MSE_TS,MEAN_ACCURACY_TR,STD_ACCURACY_TR,MEAN_ACCURACY_TS,STD_ACCURACY_TS,CONVERGENCE,LS
MONKS_1,0.01543507845312587,0.023595738527811726,0.04880705208979956,0.07842941554857,0.9650406504065042,0.055505298174628556,0.9018561484918795,0.1572361905571066,445.6,6.411944735944135
MONKS_2,0.015916003953906382,0.03379565801522052,0.03863786451925845,0.06757924990776074,0.9607941347270617,0.08952166206316282,0.9205336426914151,0.1359673807288422,326.1,5.2443833016810855
MONKS_3,0.020666489294941946,0.037259677678908414,0.0350819659861401,0.05547584899407346,0.9363971917464157,0.1346538257756109,0.926372776488786,0.11148475113052513,371.2,5.377637497799907
