DATASET,MEAN_MSE_TR,STD_MSE_TR,MEAN_MSE_TS,STD_MSE_TS,MEAN_ACCURACY_TR,STD_ACCURACY_TR,MEAN_ACCURACY_TS,STD_ACCURACY_TS,CONVERGENCE,LS
MONKS_1,1.0049327367466587e-05,5.835834122053372e-06,9.635269958474319e-06,5.294787715147254e-06,1.0,0.0,1.0,0.0,25829.0,1.0
MONKS_2,7.555283457844014e-06,5.576854619190217e-07,7.3703967885432475e-06,6.112478476783745e-07,1.0,0.0,1.0,0.0,14586.5,1.0
MONKS_3,0.002068294842412938,0.002066212266874459,3.873429513560863e-06,5.9470562699261e-07,0.9958677685950414,0.004132231404958608,1.0,0.0,65306.5,1.0
