DATASET,TOT,BACKWARD,,DIRECTION
MONKS_1,5307.1375,749.9049999999991,3151.043000000001,7.259499999999966
MONKS_2,6567.702,967.8754999999973,3769.131500000003,8.119999999999974
MONKS_3,23903.485999999997,3417.2930000001115,14174.894499999999,32.8415000000003
