DATASET,MEAN_MSE_TR,STD_MSE_TR,MEAN_MSE_TS,STD_MSE_TS,MEAN_ACCURACY_TR,STD_ACCURACY_TR,MEAN_ACCURACY_TS,STD_ACCURACY_TS,CONVERGENCE,LS
MONKS_1,1.4853128960395949e-05,5.238443294130486e-06,1.4278444421560218e-05,7.002440025633954e-06,1.0,0.0,1.0,0.0,472.5,7.9750767835333
MONKS_2,5.9058872292848655e-06,8.070737723692399e-07,5.718939251691572e-06,6.228671148682985e-07,1.0,0.0,1.0,0.0,513.0,8.1052471752805
MONKS_3,0.012399378105254433,5.209150045464711e-07,3.799426883148382e-06,1.8405182314650858e-06,0.975206611570248,0.0,1.0,0.0,2209.5,8.238061644940654
