DATASET,MEAN_MSE_TR,STD_MSE_TR,MEAN_MSE_TS,STD_MSE_TS,MEAN_ACCURACY_TR,STD_ACCURACY_TR,MEAN_ACCURACY_TS,STD_ACCURACY_TS,CONVERGENCE,LS
MONKS_1,0.006114630082302492,0.006094538510047966,0.020015991867977746,0.01999471098353055,0.9878048780487805,0.012195121951219523,0.96,0.03999999999999998,770.5,8.15195149714462
MONKS_2,8.384540267977825e-06,1.6715792663237197e-06,6.325496826184439e-06,1.6309540375431728e-08,1.0,0.0,1.0,0.0,340.0,7.943282564219141
MONKS_3,0.006199876569659585,0.006198980620590302,1.4252105624255147e-06,5.336980892577814e-07,0.987603305785124,0.012396694214875992,1.0,0.0,4056.0,8.261598756999746
