DATASET,MEAN_MSE_TR,STD_MSE_TR,MEAN_MSE_TS,STD_MSE_TS,MEAN_ACCURACY_TR,STD_ACCURACY_TR,MEAN_ACCURACY_TS,STD_ACCURACY_TS,CONVERGENCE,LS
MONKS_1,0.005903594250558558,0.0,0.011354425356407407,0.0,1.0,0.0,0.9907192575406032,0.0,10000.0,1.0
MONKS_2,0.004859046568744335,0.001044547681814223,0.007799554760037303,0.0035548705963701034,1.0,0.0,0.9953596287703016,0.004640371229698403,10000.0,1.0
MONKS_3,0.011105658771758517,0.00887511772331765,0.012891278612931779,0.007763764565352747,0.9834710743801653,0.023375430783026337,0.9814385150812065,0.020048695122684812,10000.0,1.0
