DATASET,TOT,BACKWARD,LS,DIRECTION
MONKS_1,66348.93,1865.1039999998704,1.0,1.0
MONKS_2,71843.1795,2118.6884999999565,1.0,1.0
MONKS_3,70909.91466666666,2090.1433333332748,1.0,1.0
