DATASET,TOT,BACKWARD,LS,DIRECTION
MONKS_1,1306.233,129.4750000000002,582.54,3.904999999999997
MONKS_2,1193.9225000000001,121.60600000000022,578.664,3.2764999999999986
MONKS_3,1492.166,151.28700000000006,680.5576666666667,4.302666666666664
