DATASET,TOT,BACKWARD,LS,DIRECTION
MONKS_1,9178.867,962.3819999999984,4090.0839999999985,35.503000000000014
MONKS_2,9705.547,1062.899499999995,4295.083500000002,33.063000000000024
MONKS_3,6492.842333333334,709.9603333333299,2866.6843333333345,22.130666666666684
