DATASET,TOT,BACKWARD,LS,DIRECTION
MONKS_1,289.454,20.568,174.085,0.656
MONKS_2,8124.9495,901.8054999999987,3577.151499999998,22.588499999999993
MONKS_3,29642.514,3143.543666666579,12895.573666666693,85.85400000000045
