DATASET,MEAN_MSE_TR,STD_MSE_TR,MEAN_MSE_TS,STD_MSE_TS,MEAN_ACCURACY_TR,STD_ACCURACY_TR,MEAN_ACCURACY_TS,STD_ACCURACY_TS,CONVERGENCE,ACC_EPOCHS,LS
MONKS_1,0.02099553520594715,0.013189846320472445,0.03053700727554711,0.0193986831115698,0.9772357723577236,0.027880371056068682,0.9649651972157773,0.040273102602936095,999.0,619.6,1.0
MONKS_2,0.011213154807567079,0.013515997648616933,0.016202836188013763,0.01984531722997339,0.9886178861788618,0.022764227642276414,0.9821345707656611,0.03328556752633405,999.0,483.35,1.0
MONKS_3,0.009889966365134145,0.011359235638541285,0.016898011203211223,0.01644754247181311,0.9899325852762659,0.01909553744568999,0.9726218097447796,0.031113565097886455,999.0,334.03333333333336,1.0
