DATASET,MEAN_MSE_TR,STD_MSE_TR,MEAN_MSE_TS,STD_MSE_TS,MEAN_ACCURACY_TR,STD_ACCURACY_TR,MEAN_ACCURACY_TS,STD_ACCURACY_TS,CONVERGENCE,LS
MONKS_1,0.0073866192288967,0.0,0.01029148932380516,0.0,1.0,0.0,1.0,0.0,10000.0,1.0
MONKS_2,0.0054039093951137205,0.0019827098337829798,0.0070865037442461734,0.003204985579558987,1.0,0.0,1.0,0.0,10000.0,1.0
MONKS_3,0.0091101995702145,0.005485793705631873,0.009604019284308579,0.004418565834336459,0.9944903581267218,0.007791810261008762,0.9907192575406033,0.013124951854970745,10000.0,1.0
