DATASET,MEAN_MSE_TR,STD_MSE_TR,MEAN_MSE_TS,STD_MSE_TS,MEAN_ACCURACY_TR,STD_ACCURACY_TR,MEAN_ACCURACY_TS,STD_ACCURACY_TS,CONVERGENCE,LS
MONKS_1,0.0708327967085378,0.0,0.2494199535962877,0.0,0.8536585365853658,0.0,0.5011600928074246,0.0,14.0,1.7142857142857142
MONKS_2,0.03541792625457769,0.035414870453960114,0.12471919063274742,0.1247007629635403,0.9268292682926829,0.07317073170731708,0.7505800464037122,0.2494199535962877,355.5,4.774646443943431
MONKS_3,0.023612574482323876,0.033389739348795425,0.09610813473735726,0.10956294337666206,0.9512195121951219,0.06898602743283391,0.8058778035576178,0.21814954975999268,1521.6666666666667,5.949487527237153
