DATASET,MEAN_MSE_TR,STD_MSE_TR,MEAN_MSE_TS,STD_MSE_TS,MEAN_ACCURACY_TR,STD_ACCURACY_TR,MEAN_ACCURACY_TS,STD_ACCURACY_TS
MONKS_1,0.011448943910621302,0.013900499442795457,0.01852328166188051,0.019818746708793515,0.9772357723577235,0.027880371056068682,0.962877030162413,0.039306436997905855
MONKS_2,0.005774177300965674,0.011349666010224408,0.010230097956993502,0.016387570678524217,0.9886178861788618,0.022764227642276414,0.9788863109048723,0.03255626383458264
MONKS_3,0.008131308457125183,0.01080458603910742,0.014975885236037744,0.01542508648837577,0.9838719792156597,0.021678973020274588,0.9675947409126063,0.03230802349597291
