DATASET,MEAN_MSE_TR,STD_MSE_TR,MEAN_MSE_TS,STD_MSE_TS,MEAN_ACCURACY_TR,STD_ACCURACY_TR,MEAN_ACCURACY_TS,STD_ACCURACY_TS,CONVERGENCE,LS
MONKS_1,0.021750695506382818,0.013472909943769866,0.03166420894334708,0.01987470958986571,0.9715447154471546,0.028455284552845517,0.9582366589327147,0.04176334106728541,1000.0,1.0
MONKS_2,0.013431586968822,0.013006732683539702,0.01914351759358345,0.019500719396796203,0.984284262485482,0.024637519398490886,0.9763341067285383,0.03659426290884898,1000.0,1.0
MONKS_3,0.016743425478047833,0.011642766763019001,0.019812461468178368,0.016005125265066904,0.9716165055688338,0.027042697427105262,0.9709976798143853,0.030913081365768647,1000.0,1.0
