DATASET,TOT,BACKWARD,LS,DIRECTION,BACKWARD_P,LS_P,DIRECTION_P
MONKS_1,3.449343,0.10172870000000026,1.0,1.0,2.948,29.043,29.043
MONKS_2,3.7176429499999997,0.11273695000000014,1.0,1.0,3.026,27.086,27.086
MONKS_3,3.6664300999999995,0.11016353333333351,1.0,1.0,3.0,27.426,27.426
